name,brand,category,subcategory,location,barcode,units_per_case
"Antica Formula Vermouth 750ml","Carpano","spirits","Vermouth","","","6"
"Cabernet Sauvignon 2022 Napa Valley 750ml","Iconoclast","red_wine","Cabernet Sauvignon","","0086891080604","12"
"Aged 10 Years Kentucky Straight Bourbon Whiskey","Eagle Rare","spirits","Bourbon","","","12"
"Owney's Craft White Rum 70cl","Owney's","spirits","Rum","","0741459967772","12"
"Razberi Raspberry Flavored Premium Vodka","Stolichnaya","spirits","Vodka","","0083664871810","12"
"Aged Rum (Origin of St. Croix)","Cruzan","spirits","Rum","","","12"
"Red 2022 750 ml","La Peña de España","red_wine","Tempranillo","","0015643655739","12"
"Sparkling White Tea","Tost","soft","Juice","","0867760000103","12"
"Verdejo 2022 Rueda Night Harvest","Marqués de Cáceres","white_wine","Sauvignon Blanc","","","12"
"chambord blackraspberry liquor 25.40 fl oz","Chambord","spirits","Liqueur","","0083300034531","12"
"Yellow liqueur","Chartreuse","spirits","Liqueur","","0089744329561","12"
"Genepy 750ml","Dolin","spirits","Vermouth","","3274510003616","12"
"Chablis Côte de Bréchain 2023","Domaine Testut","white_wine","Chardonnay","","","12"
"Lichi Li (Lychee) Liqueur 750ml","Giffard","spirits","Liqueur","","0852322814106","12"
"Saveur d'autrefois 1 L","Suze","spirits","Aperitif","","","12"
"Termes Tinta de Toro 750 ml","Numanthia","red_wine","Tempranillo","","0817538141132","12"
"Sparkling Rosé Brut 750ml","Edmond Thery","sparkling","Sparkling","","3299641117520","12"
"Dry Vermouth de Chambéry","Dolin","spirits","Vermouth","","","12"
"Bric Amel Langhe","Marchesi di Barolo","red_wine","Red Blend","","","12"
"Marinade 24.5 oz","Goya","other","","","0041331030632","12"
"Blanc de Blancs Brut 750ml","Delacroix","sparkling","Sparkling","","0760000701115","12"
"Rosé (California) Vintage 2021","Meiomi","rose_wine","Rosé","","0086891089690","12"
"Rosé (still)","","rose_wine","Rosé","","3760072111246","12"
"Gentian Liqueur 1 L","Suze","spirits","Aperitif","","0080432237991","12"
"Bacardi - Select Rum 33.80 fl oz","Bacardi","spirits","Rum","","0080480055301","12"
"Islay Dry Gin","REMY MARTIN","spirits","Scotch","","0087236700362","12"
"Côtes de Provence Rosé","Monsieur Touton","rose_wine","Rosé","","0015643235245","12"
"Prosecco Extra Dry","La Vendemmia","sparkling","Prosecco","","0652668578065","12"
"Espadín mezcal (100% Agave Angustifolia, single estate)","","spirits","Mezcal","","0860002743622","12"
"Perrier Jouet Grand Brut Sparkling Wine, 750 mL 25.40 fl oz","Perrier Jouet","sparkling","Champagne","","0852832105053","12"
"Hennessy","HENNESSY","spirits","Cognac","","0088110150563","12"
"Bodegas Muga Reserva Rioja (750 ml)","Bodegas Muga","red_wine","Tempranillo","","0615503100104","6"
"Jameson Whiskey","Jameson Irish Whiskey","spirits","Irish Whiskey","","0080432500118","12"
"Don Julio Anejo EMPTY Bottle 1.75L Tequila","Don Julio","spirits","Tequila","","0674545000643","12"
"Plantation Original Pineapple Rum 750ml","PLANTATION","spirits","Rum","","0695521151852","12"
"Straight Rye Whiskey","Old Overholt","spirits","Rye","","","12"
"Amaretto liqueur 750ml","","spirits","Liqueur","","0039383008785","12"
"Limoncello (lemon liqueur)","Villa Marzia","spirits","Liqueur","","0088320136258","12"
